"","X","rater_id","rated_ID","Group","presItem","prestigeRatings","id","Age","Sex","Score","OverConf","nominated","initInf","initLrn","Liked","Inflntl","ScoreC","OverConfC","raterId","ratedID","grpID","itemID"
"162","18.R8",10,7,2,"R8",6,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,9
"166","18.R13",10,7,2,"R13",5,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,2
"170","18.R14",10,7,2,"R14",5,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,3
"174","18.R15",10,7,2,"R15",5,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,4
"178","18.R17rev",10,7,2,"R17rev",6,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,5
"2","2.R1",6,8,2,"R1",4,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,1
"6","2.R2rev",6,8,2,"R2rev",6,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,6
"10","2.R4",6,8,2,"R4",4,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,7
"14","2.R6rev",6,8,2,"R6rev",6,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,8
"18","2.R8",6,8,2,"R8",5,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,9
"22","2.R13",6,8,2,"R13",5,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,2
"26","2.R14",6,8,2,"R14",6,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,3
"30","2.R15",6,8,2,"R15",4,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,4
"34","2.R17rev",6,8,2,"R17rev",7,2,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,99,116,10,5
"38","6.R1",7,8,2,"R1",5,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,1
"42","6.R2rev",7,8,2,"R2rev",6,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,6
"46","6.R4",7,8,2,"R4",5,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,7
"50","6.R6rev",7,8,2,"R6rev",7,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,8
"54","6.R8",7,8,2,"R8",5,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,9
"58","6.R13",7,8,2,"R13",5,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,2
"62","6.R14",7,8,2,"R14",5,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,3
"66","6.R15",7,8,2,"R15",4,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,4
"70","6.R17rev",7,8,2,"R17rev",7,6,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,108,116,10,5
"111","15.R1",9,8,2,"R1",4,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,1
"115","15.R2rev",9,8,2,"R2rev",5,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,6
"119","15.R4",9,8,2,"R4",4,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,7
"123","15.R6rev",9,8,2,"R6rev",7,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,8
"127","15.R8",9,8,2,"R8",6,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,9
"131","15.R13",9,8,2,"R13",6,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,2
"135","15.R14",9,8,2,"R14",6,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,3
"139","15.R15",9,8,2,"R15",5,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,4
"143","15.R17rev",9,8,2,"R17rev",7,15,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,127,116,10,5
"147","19.R1",10,8,2,"R1",5,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,1
"151","19.R2rev",10,8,2,"R2rev",6,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,6
"155","19.R4",10,8,2,"R4",5,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,7
"159","19.R6rev",10,8,2,"R6rev",6,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,8
"163","19.R8",10,8,2,"R8",5,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,9
"167","19.R13",10,8,2,"R13",4,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,2
"171","19.R14",10,8,2,"R14",5,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,3
"175","19.R15",10,8,2,"R15",5,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,4
"179","19.R17rev",10,8,2,"R17rev",6,19,38,0,25,0,0,0,1,0.9375,0.5,-3.83891213389121,-0.211297071129707,1,116,10,5
"3","3.R1",6,9,2,"R1",4,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,1
"7","3.R2rev",6,9,2,"R2rev",7,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,6
"11","3.R4",6,9,2,"R4",3,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,7
"15","3.R6rev",6,9,2,"R6rev",3,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,8
"19","3.R8",6,9,2,"R8",4,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,9
"23","3.R13",6,9,2,"R13",4,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,2
"27","3.R14",6,9,2,"R14",4,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,3
"31","3.R15",6,9,2,"R15",2,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,4
"35","3.R17rev",6,9,2,"R17rev",7,3,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,99,126,10,5
"39","7.R1",7,9,2,"R1",4,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,1
"43","7.R2rev",7,9,2,"R2rev",7,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,6
"47","7.R4",7,9,2,"R4",3,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,7
"51","7.R6rev",7,9,2,"R6rev",6,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,8
"55","7.R8",7,9,2,"R8",4,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,9
"59","7.R13",7,9,2,"R13",4,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,2
"63","7.R14",7,9,2,"R14",2,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,3
"67","7.R15",7,9,2,"R15",2,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,4
"71","7.R17rev",7,9,2,"R17rev",7,7,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,108,126,10,5
"75","11.R1",8,9,2,"R1",5,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,1
"79","11.R2rev",8,9,2,"R2rev",6,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,6
"83","11.R4",8,9,2,"R4",5,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,7
"87","11.R6rev",8,9,2,"R6rev",5,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,8
"91","11.R8",8,9,2,"R8",5,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,9
"95","11.R13",8,9,2,"R13",6,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,2
"99","11.R14",8,9,2,"R14",5,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,3
"103","11.R15",8,9,2,"R15",5,11,26,0,28,0,0,0,0,0.875,0.277777777777778,-0.838912133891213,-0.211297071129707,118,126,10,4
