"ID"	"Group"	"YOB"	"Age"	"Gender"	"Sex"	"IndividScore"	"Est_Score"	"Overconfidence"	"Group_Quiz_Score"	"Group_Bonus_Score"	"Nominated"	"mode_influential"	"initial_influential"	"mode_learn"	"intial_learn"
"107"	117	24	"1963"	"55"	"M"	"0"	26	"10"	"-16"	32	5	0	118	0	119	0
"108"	118	24	"1960"	"58"	"F"	"1"	29	"15"	"-14"	32	5	0	118	1	119	0
"109"	119	24	"1962"	"56"	"M"	"0"	32	"34"	"2"	32	5	1	118	0	119	1
"110"	120	24	"1977"	"41"	"M"	"0"	22	"37"	"15"	32	5	0	118	0	119	0
"111"	121	25	"1985"	"33"	"M"	"0"	30	"33"	"3"	35	5	1	0	0	0	0
"112"	122	25	"1994"	"24"	"F"	"1"	30	"35"	"5"	35	5	0	0	0	0	0
"113"	123	25	"1995"	"23"	"F"	"1"	29	"10"	"-19"	35	5	0	0	0	0	0
"114"	124	25	"1995"	"23"	"F"	"1"	29	"22"	"-7"	35	5	0	0	0	0	0
"115"	125	25	"1989"	"29"	"F"	"1"	24	"20"	"-4"	35	5	0	0	0	0	0
"116"	126	26	"1980"	"38"	"F"	"1"	35	"28"	"-7"	32	4	1	129	0	0	0
"117"	127	26	"1970"	"48"	"F"	"1"	31	"25"	"-6"	32	4	0	129	0	0	0
"118"	128	26	"1972"	"46"	"F"	"1"	26	"15"	"-11"	32	4	0	129	0	0	0
"119"	129	26	"1973"	"45"	"F"	"1"	24	"18"	"-6"	32	4	0	129	1	0	0
"120"	130	26	"1980"	"38"	"F"	"1"	25	"10"	"-15"	32	4	0	129	0	0	0
"121"	131	27	"1987"	"31"	"M"	"0"	26	"27"	"1"	38	5	0	0	0	0	0
"122"	132	27	"1954"	"64"	"M"	"0"	36	"35"	"-1"	38	5	0	0	0	0	0
"123"	133	27	"1948"	"70"	"M"	"0"	21	"37"	"16"	38	5	0	0	0	0	0
"124"	134	27	"1970"	"48"	"M"	"0"	36	"20"	"-16"	38	5	1	0	0	0	0
"125"	135	27	"1986"	"32"	"F"	"1"	34	"28"	"-6"	38	5	0	0	0	0	0
"126"	136	28	"1956"	"62"	"M"	"0"	32	"36"	"4"	37	5	0	140	0	0	0
"127"	137	28	"1949"	"69"	"M"	"0"	31	"30"	"-1"	37	5	0	140	0	0	0
"128"	138	28	"1983"	"35"	"M"	"0"	37	"29"	"-8"	37	5	1	140	0	0	0
"129"	139	28	"1966"	"52"	"M"	"0"	31	"32"	"1"	37	5	0	140	0	0	0
"130"	140	28	"na"	"#VALUE!"	"na"	"na"	27	"32"	"5"	37	5	0	140	1	0	0
"131"	141	29	"1983"	"35"	"F"	"1"	33	"25"	"-8"	31	7	0	142	0	0	0
"132"	142	29	"1989"	"29"	"F"	"1"	34	"27"	"-7"	31	7	0	142	1	0	0
"133"	143	29	"1984"	"34"	"F"	"1"	31	"20"	"-11"	31	7	0	142	0	0	0
"134"	144	29	"1988"	"30"	"M"	"0"	28	"28"	"0"	31	7	1	142	0	0	0
"135"	145	29	"1994"	"24"	"M"	"0"	33	"21"	"-12"	31	7	0	142	0	0	0
"136"	146	30	"1970"	"48"	"F"	"1"	32	"30"	"-2"	33	3	1	148	0	0	0
"137"	147	30	"1966"	"52"	"M"	"0"	31	"27"	"-4"	33	3	0	148	0	0	0
