"","Rater_ID","Name","position","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R2rev","R6rev","R10rev","R12rev","R17rev","dominanceMean","prestigeMean","Psum","Pprop","Dsum","Dprop"
"79",93,"JK Rowling","Author",6,1,2,2,1,4,1,6,1,7,1,3,7,6,4,1,2,7,4,1,5,6,1.625,5.33333333333333,48,0.722222222222222,13,0.104166666666667
"80",94,"Edward Davey","MP",6,2,4,5,3,2,2,6,2,4,1,4,6,6,6,3,2,6,6,4,4,6,2.875,5.88888888888889,53,0.814814814814815,23,0.3125
"81",95,"David Attenborough","Presenter",6,2,4,6,2,1,1,6,2,2,3,4,6,7,4,1,2,6,7,6,4,6,2.875,6,54,0.833333333333333,23,0.3125
"82",96,"Oscar Wilde","author/activist/dandy",5,6,7,6,7,4,6,6,6,2,3,2,6,5,3,3,2,2,4,6,6,6,5.5,4.77777777777778,43,0.62962962962963,44,0.75
"83",97,"Sarah Porter","Councilor",6,1,4,6,1,1,1,4,1,4,1,1,5,7,7,1,1,7,7,4,7,7,2.5,6.22222222222222,56,0.87037037037037,20,0.25
"84",98,"Aade le Pichon","Mother",4,2,2,3,2,1,1,5,2,3,1,5,5,6,6,2,1,6,7,5,3,7,2.25,5.44444444444444,49,0.740740740740741,18,0.208333333333333
"85",99,"Theresa May","Prime Minister",2,4,7,6,4,3,6,5,6,1,3,1,4,4,3,6,6,4,5,7,7,2,5.75,3.88888888888889,35,0.481481481481481,46,0.791666666666667
"86",100,"Mark Ashton","Activist",6,4,6,6,6,1,4,6,4,2,5,3,6,4,5,3,4,4,7,6,5,4,4.875,5.33333333333333,48,0.722222222222222,39,0.645833333333333
"87",101,"Theresa May","Prime Minister",3,4,6,6,5,4,3,6,6,2,5,1,2,7,6,5,5,4,4,6,7,3,5.375,4.55555555555556,41,0.592592592592593,43,0.729166666666667
"88",102,"Theresa May","Prime Minister",2,4,6,3,5,6,5,4,4,5,4,3,2,2,4,4,6,4,2,3,5,2,4.5,2.77777777777778,25,0.296296296296296,36,0.583333333333333
"89",103,"Shaun Passey","Head drama teacher sixth form",6,3,6,7,4,3,4,6,6,3,5,3,6,7,7,2,3,5,5,5,5,5,4.625,6,54,0.833333333333333,37,0.604166666666667
"90",104,"Theresa May","Prime Minister",3,3,6,4,2,2,1,3,2,3,1,2,5,5,4,3,2,5,6,5,6,6,3.25,4.55555555555556,41,0.592592592592593,26,0.375
"91",105,"Theresa May","Prime Minister",2,6,7,2,7,7,7,2,5,6,1,7,1,1,1,1,1,2,1,2,1,7,3.875,2.11111111111111,19,0.185185185185185,31,0.479166666666667
"92",106,"The Queen","Queen of England",5,4,3,5,1,2,1,6,2,7,5,1,2,4,4,1,2,4,6,1,7,6,2.625,4.66666666666667,42,0.611111111111111,21,0.270833333333333
"93",107,"Theresa May","Prime Minister",1,7,7,4,7,7,7,1,7,1,1,1,4,1,1,4,7,1,1,7,7,1,5.875,1.66666666666667,15,0.111111111111111,47,0.8125
"94",108,"Theresa May","Prime Minister",3,7,7,3,7,6,6,2,6,2,4,1,3,4,3,3,6,1,2,6,7,2,5.75,2.55555555555556,23,0.259259259259259,46,0.791666666666667
"95",109,"John Goodman","Newquay Facebook Community Admin",6,1,1,7,1,1,2,6,2,2,2,5,6,6,6,1,1,7,7,6,3,7,2.25,6.44444444444444,58,0.907407407407407,18,0.208333333333333
"96",110,"Donald Trump","Prime Minister",4,4,7,7,7,3,7,1,7,1,7,1,7,6,1,6,4,4,5,7,7,4,6.875,4.33333333333333,39,0.555555555555556,55,0.979166666666667
"97",111,"Queen","Head of State",6,3,5,6,2,2,6,7,7,2,2,4,7,7,7,7,1,5,6,6,4,7,4.875,6.44444444444444,58,0.907407407407407,39,0.645833333333333
"98",112,"Sam Mezec","States of Jersey Reform Party Member",2,6,4,3,2,5,1,4,2,6,2,4,3,5,6,2,2,2,3,2,4,6,2.375,3.77777777777778,34,0.462962962962963,19,0.229166666666667
"99",113,"theresa May","Prime minister",4,6,7,4,6,4,5,4,6,5,4,2,3,2,1,2,7,2,4,3,6,1,4.875,2.77777777777778,25,0.296296296296296,39,0.645833333333333
"100",114,"Theresa May","Prime Minister",3,6,5,2,7,5,4,5,6,2,4,2,5,5,4,2,5,2,3,6,6,3,5,3.55555555555556,32,0.425925925925926,40,0.666666666666667
"101",115,"Theresa May","Prime Minister",3,6,6,4,4,5,5,4,3,4,2,6,2,5,1,2,4,2,3,4,2,4,3.5,3.11111111111111,28,0.351851851851852,28,0.416666666666667
"102",116,"Peter L Mere","Peace Campaigner CND",7,3,2,4,1,2,1,7,1,2,7,7,7,7,7,1,1,5,6,6,1,7,2.5,6.33333333333333,57,0.888888888888889,20,0.25
