Rater_ID	name	position	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17
142	Ozzy Osbourne	Rock Star Supreme	4	4	6	3	6	6	2	3	5	2	2	1	5	6	1	1	2
15	Patrick Gale	Author	7	4	3	6	1	3	1	6	2	2	1	4	6	7	5	1	3
144	Paul	International project director	5	3	2	4	2	2	2	6	2	3	2	2	7	7	6	1	2
79	Penny HC Dinh	Youtuber	5	4	4	6	2	3	1	5	3	4	2	3	6	5	5	2	3
116	Peter L Mere	Peace Campaigner CND	7	3	2	4	1	2	1	7	1	2	7	7	7	7	7	1	1
34	Phil Eaton	Traveller&Gypsy Liason Officer	6	6	4	7	1	5	1	5	5	4	4	4	4	4	7	4	5
73	Prince Charles	Duke of Cornwall	4	6	7	7	7	4	7	5	7	1	7	1	7	7	4	4	4
42	Prince William	Heir to the Throne	1	1	1	4	2	1	1	7	4	4	4	4	6	4	1	1	1
111	 The Queen	Head of State	6	3	5	6	2	2	6	7	7	2	2	4	7	7	7	7	1
16	The Queen	Queen	7	2	5	6	5	1	1	7	5	1	7	1	7	7	5	3	1
69	Richard Charter	ex Bishop of London	7	1	1	6	1	1	1	7	na	4	1	na	na	6	7	1	1
154	Richard Smith 	Chess club secretary + local accountant	6	3	3	6	2	2	4	6	2	3	3	5	7	7	6	2	2
131	Richard Stallman	free software advocate & software developer	6	2	1	5	4	2	1	6	4	5	2	1	6	7	6	1	2
12	Rick Stein	Celeb Chef	4	3	1	7	1	5	1	4	1	3	2	2	7	6	3	1	2
153	Robin Kneebone	President of Cornwall Chess Association	7	1	4	5	5	2	4	7	4	2	2	4	6	7	7	1	2
91	Rodrigo Duterte	President of Phillipines	1	7	7	5	5	2	7	4	7	1	3	1	3	4	4	6	6
31	Roselyn	Director	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
76	Rupaul Charles	Drag Queen	5	2	7	7	6	2	3	5	7	1	5	2	7	7	6	2	1
112	Sam Mezec	States of Jersey Reform Party Member	2	6	4	3	2	5	1	4	2	6	2	4	3	5	6	2	2
39	Sarah Newton	MP Falmouth	4	4	7	3	6	5	4	3	6	2	2	2	4	5	5	4	2
88	Sarah Newton	M.P.	6	4	5	7	4	1	1	7	1	1	1	1	7	7	7	1	1
143	Sarah Newton	Tory MP Truro & Falmouth	4	7	7	6	7	7	7	1	7	2	1	1	3	1	1	2	7
97	Sarah Porter	Councilor	6	1	4	6	1	1	1	4	1	4	1	1	5	7	7	1	1
26	Shanne Sands	Poet	7	3	1	1	1	1	1	7	1	2	1	1	7	7	5	1	5
103	Shaun Passey	Head drama teacher sixth form	6	3	6	7	4	3	4	6	6	3	5	3	6	7	7	2	3
139	Sheryll Murray	Local MP	1	7	7	4	7	7	6	3	7	1	1	1	1	2	4	1	4
121	Shinzo Abe	Prime minister of Japan	3	5	5	4	6	4	6	4	6	3	2	3	6	6	4	4	4
33	Sir Humphry Davy	Statue	5	1	1	7	4	3	1	6	4	5	3	1	5	7	7	7	1
37	Steve Cannon	Advocacy Support Worker	6	1	1	2	2	1	1	3	1	6	1	1	5	6	7	1	2
78	Tarja Halona	former president of Finland	5	3	4	5	2	1	1	6	3	5	3	2	6	7	6	1	1
150	Theresa May	The Prime Minister	4	3	4	5	4	4	6	5	5	3	4	2	5	6	5	5	4
106	The Queen	Queen of England	5	4	3	5	1	2	1	6	2	7	5	1	2	4	4	1	2
152	The Queen	Monarch	7	1	4	6	1	1	1	1	1	4	1	4	7	7	4	1	1
9	Theresa May	Prime Minister	4	5	7	5	7	4	5	3	4	5	4	1	3	4	2	2	6
10	Theresa May	Prime Minister	3	6	6	4	6	6	6	3	5	3	4	2	3	4	1	4	6
44	Theresa May	PM	4	5	7	6	6	5	6	3	7	6	7	2	3	3	1	6	6
61	Theresa May	Prime Minister	5	5	6	3	5	5	6	4	6	4	3	2	3	5	2	4	5
70	Theresa May	Prime minister	4	4	7	1	7	4	7	4	7	4	5	1	5	7	4	1	5
72	Theresa May	Prime Minister	3	6	7	4	6	3	7	4	6	5	4	2	3	4	3	1	7
87	Theresa May	Prime Minister	1	1	4	1	7	1	6	1	4	1	4	1	6	4	1	1	4
89	Theresa May	 Prime minister	4	4	7	7	4	4	6	7	7	1	4	1	5	7	7	4	4
99	Theresa May	Prime Minister	2	4	7	6	4	3	6	5	6	1	3	1	4	4	3	6	6
101	Theresa May	Prime Minister	3	4	6	6	5	4	3	6	6	2	5	1	2	7	6	5	5
102	Theresa May	Prime Minister	2	4	6	3	5	6	5	4	4	5	4	3	2	2	4	4	6
104	Theresa May	Prime Minister	3	3	6	4	2	2	1	3	2	3	1	2	5	5	4	3	2
105	Theresa May	Prime Minister	2	6	7	2	7	7	7	2	5	6	1	7	1	1	1	1	1
107	Theresa May	Prime Minister	1	7	7	4	7	7	7	1	7	1	1	1	4	1	1	4	7
108	Theresa May	Prime Minister	3	7	7	3	7	6	6	2	6	2	4	1	3	4	3	3	6
113	theresa May	Prime minister	4	6	7	4	6	4	5	4	6	5	4	2	3	2	1	2	7
114	Theresa May	Prime Minister	3	6	5	2	7	5	4	5	6	2	4	2	5	5	4	2	5
115	Theresa May	Prime Minister	3	6	6	4	4	5	5	4	3	4	2	6	2	5	1	2	4
135	Theresa May	Prime Minister	4	5	3	5	6	4	2	4	4	6	3	3	2	2	2	3	5
80	Theresa May 	Prime Minister	2	5	5	5	5	4	1	3	5	6	2	2	2	3	2	1	5
41	Tony Blair	past PM	1	7	7	4	7	7	7	1	7	1	4	1	7	7	1	4	7
77	Traian Bruma	Head of alternative university in Romania	6	1	1	7	1	1	1	7	1	7	2	7	6	7	6	1	1
32	Vicky M	Green politician	6	4	3	5	2	1	1	6	6	1	5	5	7	7	6	1	4
18	Winston Churchill	Wartime PM	6	3	5	7	5	2	6	7	7	1	5	2	7	7	5	2	2
23	Winston Churchill	Prime Minister	6	4	7	6	4	2	4	6	5	1	4	2	7	6	4	2	2
83	Winston Churchill	ex Prime minister	7	4	4	6	3	2	5	7	6	2	5	4	6	7	4	3	3
