"","X.1","X","ID","Group","Group_affiliation","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","meanP","meanD","aveInf","aveLik","sScore","GroupID","o_conf","ageS","OConfBIN"
"32",40,40,45,9,"Nankersey Choir",1948,70,"M",0,26,28,2,32,4,0,0,0,0,0,0.828703703703704,0.265625,5.97222222222222,2.59375,0.791666666666667,0.958333333333333,-2.625,30,6.50735294117647,23.5147058823529,1
"33",42,42,47,10,"Active Plus_Hayle",1947,71,"M",0,34,35,1,34,6,1,47,1,47,1,0.777777777777778,0.125,5.66666666666667,1.75,1,1,5.375,1,5.50735294117647,24.5147058823529,1
"34",43,43,48,10,"Active Plus_Hayle",1943,75,"F",1,20,20,0,34,6,0,47,0,47,0,0.703703703703704,0.333333333333333,5.22222222222222,3,0.333333333333333,0.833333333333333,-8.625,1,4.50735294117647,28.5147058823529,0
"35",44,44,49,10,"Active Plus_Hayle",1926,92,"M",0,22,20,-2,34,6,0,47,0,47,0,0.842592592592593,0.375,6.05555555555556,3.25,0.638888888888889,0.75,-6.625,1,2.50735294117647,45.5147058823529,0
"36",45,45,50,10,"Active Plus_Hayle",1941,77,"M",0,29,30,1,34,6,0,47,0,47,0,0.75,0.255208333333333,5.5,2.53125,0.680555555555556,0.8125,0.375,1,5.50735294117647,30.5147058823529,1
"37",48,48,58,12,"Flushing & Mylor Gig",1962,56,"F",1,28,20,-8,34,5,0,60,0,56,0,0.87037037037037,0.270833333333333,6.22222222222222,2.625,0.736111111111111,0.958333333333333,-0.625,2,-3.49264705882353,9.51470588235294,0
"38",49,49,59,12,"Flushing & Mylor Gig",1954,64,"M",0,31,29,-2,34,5,1,60,0,56,0,0.925925925925926,0.307291666666667,6.55555555555556,2.84375,0.791666666666667,1,2.375,2,2.50735294117647,17.5147058823529,0
"39",50,50,60,12,"Flushing & Mylor Gig",1951,67,"M",0,36,10,-26,34,5,0,60,1,56,0,0.944444444444444,0.354166666666667,6.66666666666667,3.125,0.777777777777778,1,7.375,2,-21.4926470588235,20.5147058823529,0
"40",51,51,61,13,"SSE_Truro Health & Wellbeing Innovation Centre",1970,48,"M",0,26,26,0,35,5,0,63,0,0,0,0.773148148148148,0.229166666666666,5.63888888888889,2.375,0.402777777777778,0.833333333333333,-2.625,3,4.50735294117647,1.51470588235294,0
"41",52,52,62,13,"SSE_Truro Health & Wellbeing Innovation Centre",1969,49,"F",1,30,25,-5,35,5,0,63,0,0,0,0.865740740740741,0.427083333333333,6.19444444444444,3.5625,0.625,0.854166666666667,1.375,3,-0.492647058823529,2.51470588235294,0
"42",53,53,63,13,"SSE_Truro Health & Wellbeing Innovation Centre",1963,55,"F",1,33,25,-8,35,5,0,63,1,0,0,0.842592592592593,0.28125,6.05555555555556,2.6875,0.458333333333333,0.833333333333333,4.375,3,-3.49264705882353,8.51470588235294,0
"43",54,54,64,13,"SSE_Truro Health & Wellbeing Innovation Centre",1969,49,"F",1,29,20,-9,35,5,1,63,0,0,0,0.67283950617284,0.548611111111111,5.03703703703704,4.29166666666667,0.759259259259259,0.666666666666667,0.375,3,-4.49264705882353,2.51470588235294,0
"44",55,55,65,13,"SSE_Truro Health & Wellbeing Innovation Centre",1970,48,"F",1,32,24,-8,35,5,0,63,0,0,0,0.765432098765432,0.284722222222222,5.59259259259259,2.70833333333333,0.574074074074074,0.833333333333333,3.375,3,-3.49264705882353,1.51470588235294,0
"45",56,56,66,14,"ActivePlus St Ives",1938,80,"F",1,18,20,2,20,2,0,0,0,0,0,0.888888888888889,0.25,6.33333333333333,2.5,0.5,1,-10.625,4,6.50735294117647,33.5147058823529,1
"46",57,57,67,14,"ActivePlus St Ives",1934,84,"M",0,20,20,0,20,2,0,0,0,0,0,0.864197530864197,0.222222222222222,6.18518518518518,2.33333333333333,0.685185185185185,0.944444444444444,-8.625,4,4.50735294117647,37.5147058823529,0
"47",58,58,68,14,"ActivePlus St Ives",1939,79,"F",1,23,10,-13,20,2,0,0,0,0,0,1,0.375,7,3.25,0.666666666666667,1,-5.625,4,-8.49264705882353,32.5147058823529,0
